city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Le Grand-Quevilly,Le Grand-Quevilly,49.4072,1.0531,France,FR,FRA,Normandie,,25954,1250398185
Saint-êgräve,Saint-Egreve,45.2325,5.6836,France,FR,FRA,Auvergne-Rhìne-Alpes,,17930,1250398609
Le Luc,Le Luc,43.3956,6.3133,France,FR,FRA,Provence-Alpes-Cìte d?Azur,,11124,1250398997
Marquette-läs-Lille,Marquette-les-Lille,50.6764,3.0667,France,FR,FRA,Hauts-de-France,,11709,1250399592
HÇrouville-Saint-Clair,Herouville-Saint-Clair,49.2044,-0.3253,France,FR,FRA,Normandie,,22473,1250401082
Saint-Sulpice-la-Pointe,Saint-Sulpice-la-Pointe,43.775,1.6872,France,FR,FRA,Occitanie,,9674,1250403331
Libourne,Libourne,44.92,-0.24,France,FR,FRA,Nouvelle-Aquitaine,minor,24668,1250403589
Landivisiau,Landivisiau,48.51,-4.0669,France,FR,FRA,Bretagne,,9197,1250404216
Suresnes,Suresnes,48.87,2.22,France,FR,FRA,◊le-de-France,,48932,1250405027
MaxÇville,Maxeville,48.7122,6.1639,France,FR,FRA,Grand Est,,10014,1250407242
Puteaux,Puteaux,48.885,2.2389,France,FR,FRA,◊le-de-France,,44198,1250407425
Jarville-la-Malgrange,Jarville-la-Malgrange,48.67,6.2067,France,FR,FRA,Grand Est,,9362,1250407896
Louviers,Louviers,49.22,1.17,France,FR,FRA,Normandie,,18347,1250408063
Mons-en-Baroeul,Mons-en-Baroeul,50.6369,3.1103,France,FR,FRA,Hauts-de-France,,21368,1250409231
Juvisy-sur-Orge,Juvisy-sur-Orge,48.6889,2.3783,France,FR,FRA,◊le-de-France,,18978,1250410210
Cahors,Cahors,44.4483,1.4414,France,FR,FRA,Occitanie,minor,19902,1250410554
Mäze,Meze,43.4278,3.6058,France,FR,FRA,Occitanie,,12711,1250412150
Tarare,Tarare,45.8969,4.4339,France,FR,FRA,Auvergne-Rhìne-Alpes,,10881,1250412318
Villeneuve-Loubet,Villeneuve-Loubet,43.6589,7.1222,France,FR,FRA,Provence-Alpes-Cìte d?Azur,,16729,1250412551
Montauban,Montauban,44.0181,1.3558,France,FR,FRA,Occitanie,minor,62487,1250412579
Digne-les-Bains,Digne-les-Bains,44.0933,6.2364,France,FR,FRA,Provence-Alpes-Cìte d?Azur,minor,17694,1250413412
Plaisir,Plaisir,48.8183,1.9472,France,FR,FRA,◊le-de-France,,31971,1250415771
Carmaux,Carmaux,44.05,2.1589,France,FR,FRA,Occitanie,,9927,1250416433
Nåmes,Nimes,43.8383,4.3597,France,FR,FRA,Occitanie,minor,150444,1250417467
Arnouville-läs-Gonesse,Arnouville-les-Gonesse,48.9878,2.4175,France,FR,FRA,◊le-de-France,,14898,1250419168
Aulnay-sous-Bois,Aulnay-sous-Bois,48.9386,2.4906,France,FR,FRA,◊le-de-France,,86360,1250420439
Le MÇe-sur-Seine,Le Mee-sur-Seine,48.5333,2.6289,France,FR,FRA,◊le-de-France,,19527,1250420888
Sanary-sur-Mer,Sanary-sur-Mer,43.118,5.8014,France,FR,FRA,Provence-Alpes-Cìte d?Azur,,17938,1250421120
Floirac,Floirac,44.8375,-0.5247,France,FR,FRA,Nouvelle-Aquitaine,,17939,1250421727
Igny,Igny,48.7421,2.2261,France,FR,FRA,◊le-de-France,,10571,1250423219
Bernay,Bernay,49.09,0.6,France,FR,FRA,Normandie,minor,9801,1250424419
Plougastel-Daoulas,Plougastel-Daoulas,48.3733,-4.3694,France,FR,FRA,Bretagne,,13431,1250426921
Bruges,Bruges,44.8836,-0.6114,France,FR,FRA,Nouvelle-Aquitaine,,20382,1250426923
Albertville,Albertville,45.6767,6.3933,France,FR,FRA,Auvergne-Rhìne-Alpes,minor,19706,1250427117
Sainte-Geneviäve-des-Bois,Sainte-Genevieve-des-Bois,48.6369,2.3403,France,FR,FRA,◊le-de-France,,35714,1250428869
Lourdes,Lourdes,43.0942,-0.0469,France,FR,FRA,Occitanie,,13266,1250430295
Marck,Marck,50.9486,1.9508,France,FR,FRA,Hauts-de-France,,10468,1250431956
Genas,Genas,45.7322,5.0028,France,FR,FRA,Auvergne-Rhìne-Alpes,,13446,1250432890
La Queue-en-Brie,La Queue-en-Brie,48.79,2.5775,France,FR,FRA,◊le-de-France,,12074,1250433597
Draguignan,Draguignan,43.5403,6.4667,France,FR,FRA,Provence-Alpes-Cìte d?Azur,minor,40789,1250434593
Rumilly,Rumilly,45.8758,5.9447,France,FR,FRA,Auvergne-Rhìne-Alpes,,16082,1250434844
êzanville,Ezanville,49.0286,2.3617,France,FR,FRA,◊le-de-France,,9789,1250436744
Saint-Jean-le-Blanc,Saint-Jean-le-Blanc,47.8928,1.9183,France,FR,FRA,Centre-Val de Loire,,9534,1250437162
Saint-Gratien,Saint-Gratien,48.9719,2.2828,France,FR,FRA,◊le-de-France,,21297,1250437632
Bonneville,Bonneville,46.0797,6.4014,France,FR,FRA,Auvergne-Rhìne-Alpes,minor,13320,1250437955
Talant,Talant,47.3372,5.0064,France,FR,FRA,Bourgogne-Franche-ComtÇ,,11986,1250438803
La Valette-du-Var,La Valette-du-Var,43.1383,5.9831,France,FR,FRA,Provence-Alpes-Cìte d?Azur,,23660,1250438884
Erstein,Erstein,48.42,7.66,France,FR,FRA,Grand Est,,11076,1250439074
OrlÇans,Orleans,47.9025,1.909,France,FR,FRA,Centre-Val de Loire,admin,116344,1250441405
Limoux,Limoux,43.0578,2.2192,France,FR,FRA,Occitanie,minor,10339,1250442739
Octeville,Octeville,49.6269,-1.6431,France,FR,FRA,Normandie,,16948,1250443329
SÇlestat,Selestat,48.2594,7.4542,France,FR,FRA,Grand Est,minor,19523,1250444960
Port-Saint-Louis-du-Rhìne,Port-Saint-Louis-du-Rhone,43.3875,4.804,France,FR,FRA,Provence-Alpes-Cìte d?Azur,,8510,1250445231
Rixheim,Rixheim,47.7494,7.4053,France,FR,FRA,Grand Est,,14125,1250445761
Arras,Arras,50.292,2.78,France,FR,FRA,Hauts-de-France,minor,42621,1250447540
Castanet-Tolosan,Castanet-Tolosan,43.5164,1.4989,France,FR,FRA,Occitanie,,15264,1250448014
Bordeaux,Bordeaux,44.84,-0.58,France,FR,FRA,Nouvelle-Aquitaine,admin,994920,1250449238
La Fläche,La Fleche,47.6959,-0.0747,France,FR,FRA,Pays de la Loire,minor,15081,1250450362
Pont-Ö-Mousson,Pont-a-Mousson,48.9053,6.0547,France,FR,FRA,Grand Est,,14383,1250450574
Mohon,Mohon,49.752,4.7315,France,FR,FRA,Grand Est,,9048,1250450674
Oissel,Oissel,49.3425,1.0922,France,FR,FRA,Normandie,,12287,1250450712
Villeneuve-sur-Lot,Villeneuve-sur-Lot,44.4081,0.705,France,FR,FRA,Nouvelle-Aquitaine,minor,22004,1250450976
Cogolin,Cogolin,43.2526,6.53,France,FR,FRA,Provence-Alpes-Cìte d?Azur,,12076,1250452505
Saint-Fons,Saint-Fons,45.709,4.853,France,FR,FRA,Auvergne-Rhìne-Alpes,,19549,1250455159
Aix-les-Bains,Aix-les-Bains,45.6885,5.9153,France,FR,FRA,Auvergne-Rhìne-Alpes,,32175,1250456565
Chenneviäres-sur-Marne,Chennevieres-sur-Marne,48.7983,2.5339,France,FR,FRA,◊le-de-France,,18295,1250458214
Lys-läs-Lannoy,Lys-les-Lannoy,50.6722,3.2153,France,FR,FRA,Hauts-de-France,,13987,1250459927
ChÉlette-sur-Loing,Chalette-sur-Loing,48.0125,2.7364,France,FR,FRA,Centre-Val de Loire,,12958,1250465626
Rosendaâl,Rosendael,51.0413,2.4037,France,FR,FRA,Hauts-de-France,,18272,1250468595
Saint-Doulchard,Saint-Doulchard,47.1056,2.3575,France,FR,FRA,Centre-Val de Loire,,9650,1250470159
Aubervilliers,Aubervilliers,48.9131,2.3831,France,FR,FRA,◊le-de-France,,89489,1250470371
Soisy-sous-Montmorency,Soisy-sous-Montmorency,48.9886,2.3006,France,FR,FRA,◊le-de-France,,18068,1250471456
Beauvais,Beauvais,49.4303,2.0952,France,FR,FRA,Hauts-de-France,minor,55906,1250473996
Autun,Autun,46.9517,4.2994,France,FR,FRA,Bourgogne-Franche-ComtÇ,minor,13144,1250474820
Graulhet,Graulhet,43.7617,1.9892,France,FR,FRA,Occitanie,,13275,1250475546
Dardilly,Dardilly,45.8064,4.7536,France,FR,FRA,Auvergne-Rhìne-Alpes,,8980,1250475669
Lanester,Lanester,47.7647,-3.3422,France,FR,FRA,Bretagne,,23188,1250476491
Narbonne,Narbonne,43.1836,3.0042,France,FR,FRA,Occitanie,minor,56692,1250476648
Biganos,Biganos,44.645,-0.9772,France,FR,FRA,Nouvelle-Aquitaine,,11303,1250481750
Lamballe,Lamballe,48.4694,-2.5167,France,FR,FRA,Bretagne,,12579,1250481777
Auxerre,Auxerre,47.7986,3.5672,France,FR,FRA,Bourgogne-Franche-ComtÇ,minor,35236,1250482884
Saint-Germain-läs-Arpajon,Saint-Germain-les-Arpajon,48.5946,2.2558,France,FR,FRA,◊le-de-France,,11577,1250483663
Crest,Crest,44.7292,5.0228,France,FR,FRA,Auvergne-Rhìne-Alpes,,8712,1250484520
MontlhÇry,Montlhery,48.6392,2.2722,France,FR,FRA,◊le-de-France,,9238,1250484829
Valence,Valence,44.9333,4.8917,France,FR,FRA,Auvergne-Rhìne-Alpes,minor,64288,1250486068
Pont-Saint-Esprit,Pont-Saint-Esprit,44.2575,4.6492,France,FR,FRA,Occitanie,,10759,1250487388
Cannes,Cannes,43.5513,7.0128,France,FR,FRA,Provence-Alpes-Cìte d?Azur,,74040,1250487828
Feyzin,Feyzin,45.673,4.859,France,FR,FRA,Auvergne-Rhìne-Alpes,,9727,1250488339
L?Isle-Adam,L'Isle-Adam,49.1119,2.2236,France,FR,FRA,◊le-de-France,,12302,1250488808
Hem,Hem,50.6558,3.1886,France,FR,FRA,Hauts-de-France,,18579,1250489811
Quimper,Quimper,47.9967,-4.0964,France,FR,FRA,Bretagne,minor,64530,1250490127
Revel,Revel,43.4594,2.0047,France,FR,FRA,Occitanie,,9686,1250490543
Talence,Talence,44.8,-0.584,France,FR,FRA,Nouvelle-Aquitaine,,45869,1250490677
Charleville-MÇziäres,Charleville-Mezieres,49.7719,4.7161,France,FR,FRA,Grand Est,minor,24668,1250492188
Luáon,Lucon,46.4556,-1.1647,France,FR,FRA,Pays de la Loire,,9450,1250492396
Sartrouville,Sartrouville,48.9372,2.1644,France,FR,FRA,◊le-de-France,,51570,1250494022
Annecy-le-Vieux,Annecy-le-Vieux,45.92,6.1428,France,FR,FRA,Auvergne-Rhìne-Alpes,,21390,1250494600
Fondettes,Fondettes,47.405,0.5997,France,FR,FRA,Centre-Val de Loire,,10917,1250497789
Mainvilliers,Mainvilliers,48.4539,1.4628,France,FR,FRA,Centre-Val de Loire,,10950,1250497934
Bonneuil-sur-Marne,Bonneuil-sur-Marne,48.7742,2.4875,France,FR,FRA,◊le-de-France,,18340,1250498195
Viry-ChÉtillon,Viry-Chatillon,48.6713,2.375,France,FR,FRA,◊le-de-France,,31112,1250498232
Le Chesnay,Le Chesnay,48.8211,2.1311,France,FR,FRA,◊le-de-France,,27683,1250500651
Cluses,Cluses,46.0611,6.5794,France,FR,FRA,Auvergne-Rhìne-Alpes,,17366,1250500811
Bures-sur-Yvette,Bures-sur-Yvette,48.6969,2.1639,France,FR,FRA,◊le-de-France,,9481,1250501258
Bouguenais,Bouguenais,47.18,-1.6236,France,FR,FRA,Pays de la Loire,,20590,1250502155
QuimperlÇ,Quimperle,47.8736,-3.5486,France,FR,FRA,Bretagne,,12444,1250503112
Choisy-le-Roi,Choisy-le-Roi,48.763,2.409,France,FR,FRA,◊le-de-France,,46122,1250504037
Le Relecq-Kerhuon,Le Relecq-Kerhuon,48.4092,-4.3956,France,FR,FRA,Bretagne,,11837,1250504198
Panazol,Panazol,45.8397,1.3108,France,FR,FRA,Nouvelle-Aquitaine,,11207,1250504339
Dijon,Dijon,47.3167,5.0167,France,FR,FRA,Bourgogne-Franche-ComtÇ,admin,159941,1250505606
Beausoleil,Beausoleil,43.7425,7.4244,France,FR,FRA,Provence-Alpes-Cìte d?Azur,,12430,1250505648
Yvetot,Yvetot,49.62,0.75,France,FR,FRA,Normandie,,11548,1250505707
Auterive,Auterive,43.3514,1.4753,France,FR,FRA,Occitanie,,10291,1250506554
Saint-AndrÇ-les-Vergers,Saint-Andre-les-Vergers,48.2806,4.0547,France,FR,FRA,Grand Est,,12695,1250507061
AndrÇsy,Andresy,48.9817,2.0592,France,FR,FRA,◊le-de-France,,13663,1250507183
AvrillÇ,Avrille,47.5078,-0.5878,France,FR,FRA,Pays de la Loire,,15225,1250508041
Vedäne,Vedene,43.9783,4.9039,France,FR,FRA,Provence-Alpes-Cìte d?Azur,,11799,1250510634
ChÉtenay-Malabry,Chatenay-Malabry,48.7653,2.2781,France,FR,FRA,◊le-de-France,,35490,1250512323
VÇtraz-Monthoux,Vetraz-Monthoux,46.1742,6.2581,France,FR,FRA,Auvergne-Rhìne-Alpes,,10412,1250512324
Saint-Genis-Laval,Saint-Genis-Laval,45.696,4.793,France,FR,FRA,Auvergne-Rhìne-Alpes,,21329,1250513560
Rivesaltes,Rivesaltes,42.7697,2.8747,France,FR,FRA,Occitanie,,9151,1250513963
MÇricourt,Mericourt,50.4031,2.8667,France,FR,FRA,Hauts-de-France,,11651,1250515600
FÉches-Thumesnil,Faches-Thumesnil,50.5994,3.0744,France,FR,FRA,Hauts-de-France,,18310,1250518301
Villepreux,Villepreux,48.8308,2.0031,France,FR,FRA,◊le-de-France,,11568,1250519010
LucÇ,Luce,48.4389,1.4658,France,FR,FRA,Centre-Val de Loire,,15658,1250521642
Grenade,Grenade,43.7722,1.2936,France,FR,FRA,Occitanie,,9039,1250521887
Martigues,Martigues,43.4053,5.0475,France,FR,FRA,Provence-Alpes-Cìte d?Azur,,48818,1250522318
Vert-Saint-Denis,Vert-Saint-Denis,48.565,2.6147,France,FR,FRA,◊le-de-France,,9057,1250523234
Joinville-le-Pont,Joinville-le-Pont,48.8214,2.4728,France,FR,FRA,◊le-de-France,,20784,1250524493
Cournon-d?Auvergne,Cournon-d'Auvergne,45.7422,3.1972,France,FR,FRA,Auvergne-Rhìne-Alpes,,20020,1250524743
Haubourdin,Haubourdin,50.6097,2.9878,France,FR,FRA,Hauts-de-France,,14922,1250525131
Caudry,Caudry,50.1258,3.4125,France,FR,FRA,Hauts-de-France,,14032,1250525651
Coudekerque-Branche,Coudekerque-Branche,51.0253,2.3917,France,FR,FRA,Hauts-de-France,,20833,1250526010
Le Petit-Quevilly,Le Petit-Quevilly,49.4311,1.0539,France,FR,FRA,Normandie,,21935,1250526109
Raismes,Raismes,50.3897,3.4867,France,FR,FRA,Hauts-de-France,,12140,1250527948
LoudÇac,Loudeac,48.1778,-2.7539,France,FR,FRA,Bretagne,,9875,1250528163
Lannion,Lannion,48.7333,-3.4542,France,FR,FRA,Bretagne,minor,20525,1250528188
Gennevilliers,Gennevilliers,48.9256,2.2944,France,FR,FRA,◊le-de-France,,50874,1250529722
Guichen,Guichen,47.9681,-1.7939,France,FR,FRA,Bretagne,,9203,1250530075
Dugny,Dugny,48.95,2.4167,France,FR,FRA,◊le-de-France,,11723,1250530247
Challans,Challans,46.8467,-1.8781,France,FR,FRA,Pays de la Loire,,22890,1250531482
Saran,Saran,47.9514,1.8747,France,FR,FRA,Centre-Val de Loire,,16866,1250533222
La Chapelle-Saint-Mesmin,La Chapelle-Saint-Mesmin,47.8906,1.8408,France,FR,FRA,Centre-Val de Loire,,10492,1250533269
Longvic,Longvic,47.2886,5.0644,France,FR,FRA,Bourgogne-Franche-ComtÇ,,8787,1250533380
Montigny-le-Bretonneux,Montigny-le-Bretonneux,48.7711,2.0333,France,FR,FRA,◊le-de-France,,32150,1250533450
DarnÇtal,Darnetal,49.4453,1.1519,France,FR,FRA,Normandie,,9652,1250534299
Carriäres-sous-Poissy,Carrieres-sous-Poissy,48.9486,2.0394,France,FR,FRA,◊le-de-France,,19951,1250534594
Vierzon,Vierzon,47.2225,2.0694,France,FR,FRA,Centre-Val de Loire,minor,25254,1250535432
Montlouis-sur-Loire,Montlouis-sur-Loire,47.3892,0.8281,France,FR,FRA,Centre-Val de Loire,,11261,1250536524
Sainte-Foy-läs-Lyon,Sainte-Foy-les-Lyon,45.73,4.8,France,FR,FRA,Auvergne-Rhìne-Alpes,,21893,1250537092
Mont-Saint-Martin,Mont-Saint-Martin,49.5411,5.78,France,FR,FRA,Grand Est,,9282,1250537534
Agde,Agde,43.3108,3.4758,France,FR,FRA,Occitanie,,29612,1250539086
Gentilly,Gentilly,48.8133,2.3444,France,FR,FRA,◊le-de-France,,18883,1250539371
Fourmies,Fourmies,50.0181,4.0539,France,FR,FRA,Hauts-de-France,,11528,1250539505
Cholet,Cholet,47.06,-0.8783,France,FR,FRA,Pays de la Loire,minor,54074,1250540016
Saint-Michel-sur-Orge,Saint-Michel-sur-Orge,48.6303,2.3025,France,FR,FRA,◊le-de-France,,21536,1250540088
Toulon,Toulon,43.1258,5.9306,France,FR,FRA,Provence-Alpes-Cìte d?Azur,minor,180834,1250541629
Dunkerque,Dunkerque,51.0383,2.3775,France,FR,FRA,Hauts-de-France,minor,87013,1250542305
Castelnau-le-Lez,Castelnau-le-Lez,43.6369,3.9019,France,FR,FRA,Occitanie,,25404,1250544217
AytrÇ,Aytre,46.1347,-1.1133,France,FR,FRA,Nouvelle-Aquitaine,,9759,1250544423
Vallet,Vallet,47.1622,-1.2656,France,FR,FRA,Pays de la Loire,,9524,1250544633
Cernay,Cernay,47.81,7.18,France,FR,FRA,Grand Est,,11737,1250545081
Pernes-les-Fontaines,Pernes-les-Fontaines,43.9986,5.0597,France,FR,FRA,Provence-Alpes-Cìte d?Azur,,10433,1250545393
Saint-Jean-de-VÇdas,Saint-Jean-de-Vedas,43.5772,3.8247,France,FR,FRA,Occitanie,,13300,1250545862
Villers-Cotteràts,Villers-Cotterets,49.26,3.0906,France,FR,FRA,Hauts-de-France,,10376,1250546723
Le PrÇ-Saint-Gervais,Le Pre-Saint-Gervais,48.8833,2.4,France,FR,FRA,◊le-de-France,,16733,1250549282
Ermont,Ermont,48.9922,2.2603,France,FR,FRA,◊le-de-France,,29189,1250549360
Savigny-sur-Orge,Savigny-sur-Orge,48.6797,2.3457,France,FR,FRA,◊le-de-France,,37775,1250549576
Brive-la-Gaillarde,Brive-la-Gaillarde,45.1583,1.5321,France,FR,FRA,Nouvelle-Aquitaine,minor,46769,1250549859
Annecy,Annecy,45.916,6.133,France,FR,FRA,Auvergne-Rhìne-Alpes,minor,131272,1250551848
Maurepas,Maurepas,48.76,1.95,France,FR,FRA,◊le-de-France,,19960,1250552160
Laon,Laon,49.5639,3.6244,France,FR,FRA,Hauts-de-France,minor,24066,1250552164
Cergy,Cergy,49.0361,2.0631,France,FR,FRA,◊le-de-France,minor,69578,1250553439
Aubenas,Aubenas,44.6206,4.3911,France,FR,FRA,Auvergne-Rhìne-Alpes,,12488,1250555001
Francheville,Francheville,45.7372,4.7642,France,FR,FRA,Auvergne-Rhìne-Alpes,,15664,1250555439
Ramonville-Saint-Agne,Ramonville-Saint-Agne,43.5434,1.4787,France,FR,FRA,Occitanie,,15172,1250555797
Villeneuve-Tolosane,Villeneuve-Tolosane,43.5247,1.3425,France,FR,FRA,Occitanie,,10704,1250556540
Saint-Laurent-de-la-Salanque,Saint-Laurent-de-la-Salanque,42.7744,2.9914,France,FR,FRA,Occitanie,,9941,1250558696
Saint-Lys,Saint-Lys,43.515,1.1783,France,FR,FRA,Occitanie,,9776,1250561476
Thiers,Thiers,45.8572,3.5483,France,FR,FRA,Auvergne-Rhìne-Alpes,minor,11686,1250561791
Redon,Redon,47.6522,-2.0836,France,FR,FRA,Bretagne,minor,9336,1250563349
Thionville,Thionville,49.3589,6.1692,France,FR,FRA,Grand Est,minor,42778,1250564736
Hyäres,Hyeres,43.1199,6.1316,France,FR,FRA,Provence-Alpes-Cìte d?Azur,,55384,1250566198
Bouc-Bel-Air,Bouc-Bel-Air,43.4553,5.415,France,FR,FRA,Provence-Alpes-Cìte d?Azur,,15367,1250567506
Nangis,Nangis,48.5556,3.0153,France,FR,FRA,◊le-de-France,,8883,1250569293
Riorges,Riorges,46.0436,4.0414,France,FR,FRA,Auvergne-Rhìne-Alpes,,11034,1250569354
Antony,Antony,48.7539,2.2975,France,FR,FRA,◊le-de-France,minor,64026,1250570123
Chevigny-Saint-Sauveur,Chevigny-Saint-Sauveur,47.3025,5.1364,France,FR,FRA,Bourgogne-Franche-ComtÇ,,10895,1250570439
Limay,Limay,48.9942,1.7367,France,FR,FRA,◊le-de-France,,17584,1250570665
Le Plessis-Robinson,Le Plessis-Robinson,48.7811,2.2633,France,FR,FRA,◊le-de-France,,28893,1250572876
Harnes,Harnes,50.4458,2.9067,France,FR,FRA,Hauts-de-France,,12264,1250573539
Saint-Brieuc,Saint-Brieuc,48.5136,-2.7653,France,FR,FRA,Bretagne,minor,44607,1250574796
Haguenau,Haguenau,48.82,7.79,France,FR,FRA,Grand Est,minor,36070,1250576545
Yzeure,Yzeure,46.5669,3.3553,France,FR,FRA,Auvergne-Rhìne-Alpes,,12670,1250577424
Pfastatt,Pfastatt,47.7697,7.3025,France,FR,FRA,Grand Est,,10275,1250577618
Nort-sur-Erdre,Nort-sur-Erdre,47.4403,-1.4972,France,FR,FRA,Pays de la Loire,,9448,1250578955
Courcouronnes,Courcouronnes,48.6239,2.4294,France,FR,FRA,◊le-de-France,,13490,1250579473
Sarlat-la-CanÇda,Sarlat-la-Caneda,44.8928,1.2153,France,FR,FRA,Nouvelle-Aquitaine,minor,8786,1250580202
Bourg-läs-Valence,Bourg-les-Valence,44.9486,4.8961,France,FR,FRA,Auvergne-Rhìne-Alpes,,19872,1250580691
Saint-Cyr-sur-Loire,Saint-Cyr-sur-Loire,47.399,0.6673,France,FR,FRA,Centre-Val de Loire,,16766,1250581615
Lognes,Lognes,48.836,2.6278,France,FR,FRA,◊le-de-France,,14678,1250582714
Mitry-Mory,Mitry-Mory,48.9833,2.6167,France,FR,FRA,◊le-de-France,,20393,1250583978
Bourgoin-Jallieu,Bourgoin-Jallieu,45.5861,5.2736,France,FR,FRA,Auvergne-Rhìne-Alpes,,29816,1250584408
Aubiäre,Aubiere,45.7517,3.1117,France,FR,FRA,Auvergne-Rhìne-Alpes,,10273,1250586838
Saint-AvÇ,Saint-Ave,47.6872,-2.7333,France,FR,FRA,Bretagne,,12173,1250587503
Pornichet,Pornichet,47.2775,-2.3389,France,FR,FRA,Pays de la Loire,,12530,1250587730
Gerzat,Gerzat,45.8267,3.1456,France,FR,FRA,Auvergne-Rhìne-Alpes,,10268,1250589751
Jouy-le-Moutier,Jouy-le-Moutier,49.0117,2.0397,France,FR,FRA,◊le-de-France,,17411,1250589854
VaurÇal,Vaureal,49.0353,2.0328,France,FR,FRA,◊le-de-France,,16079,1250591118
Le Beausset,Le Beausset,43.1989,5.8033,France,FR,FRA,Provence-Alpes-Cìte d?Azur,,10098,1250592010
Saint-Paul-Trois-ChÉteaux,Saint-Paul-Trois-Chateaux,44.3497,4.769,France,FR,FRA,Auvergne-Rhìne-Alpes,,8776,1250594301
SÇnÇ,Sene,47.6206,-2.7358,France,FR,FRA,Bretagne,,9265,1250595127
Cusset,Cusset,46.1353,3.4572,France,FR,FRA,Auvergne-Rhìne-Alpes,,13329,1250595334
Deuil-la-Barre,Deuil-la-Barre,48.9767,2.3272,France,FR,FRA,◊le-de-France,,22903,1250595652
Carriäres-sur-Seine,Carrieres-sur-Seine,48.9108,2.2889,France,FR,FRA,◊le-de-France,,15002,1250595706
Thouars,Thouars,46.9758,-0.2142,France,FR,FRA,Nouvelle-Aquitaine,,13949,1250596037
Chaponost,Chaponost,45.7108,4.7425,France,FR,FRA,Auvergne-Rhìne-Alpes,,9217,1250597026
LiffrÇ,Liffre,48.2142,-1.5067,France,FR,FRA,Bretagne,,8987,1250597226
Seynod,Seynod,45.8897,6.0967,France,FR,FRA,Auvergne-Rhìne-Alpes,,21595,1250597397
Douarnenez,Douarnenez,48.0928,-4.3292,France,FR,FRA,Bretagne,,14188,1250598362
Säte,Sete,43.4053,3.6975,France,FR,FRA,Occitanie,,45090,1250599370
Cormeilles-en-Parisis,Cormeilles-en-Parisis,48.9739,2.2014,France,FR,FRA,◊le-de-France,,27086,1250599649
Thorigny-sur-Marne,Thorigny-sur-Marne,48.8788,2.7075,France,FR,FRA,◊le-de-France,,10405,1250601682
Aubagne,Aubagne,43.2908,5.5708,France,FR,FRA,Provence-Alpes-Cìte d?Azur,,47724,1250602671
ChÉteauroux,Chateauroux,46.8103,1.6911,France,FR,FRA,Centre-Val de Loire,minor,43079,1250603472
Saint-Max,Saint-Max,48.7017,6.2072,France,FR,FRA,Grand Est,,10100,1250606222
Reims,Reims,49.2628,4.0347,France,FR,FRA,Grand Est,minor,178478,1250608730
LÇognan,Leognan,44.7294,-0.5997,France,FR,FRA,Nouvelle-Aquitaine,,10723,1250609222
Landerneau,Landerneau,48.4517,-4.2481,France,FR,FRA,Bretagne,,16327,1250610309
Guyancourt,Guyancourt,48.7714,2.0739,France,FR,FRA,◊le-de-France,,29758,1250611079
Chamaliäres,Chamalieres,45.7744,3.0678,France,FR,FRA,Auvergne-Rhìne-Alpes,,17591,1250611358
Bischheim,Bischheim,48.6144,7.7528,France,FR,FRA,Grand Est,,18289,1250611667
HÇnin-Beaumont,Henin-Beaumont,50.4217,2.9508,France,FR,FRA,Hauts-de-France,,25764,1250614137
Lorient,Lorient,47.75,-3.36,France,FR,FRA,Bretagne,minor,58202,1250615711
Guipavas,Guipavas,48.4342,-4.3994,France,FR,FRA,Bretagne,,15401,1250618199
Lieusaint,Lieusaint,48.6333,2.55,France,FR,FRA,◊le-de-France,,14096,1250618392
La Crau,La Crau,43.1506,6.0747,France,FR,FRA,Provence-Alpes-Cìte d?Azur,,19416,1250618622
Le Pradet,Le Pradet,43.1064,6.0239,France,FR,FRA,Provence-Alpes-Cìte d?Azur,,10582,1250619066
MaulÇon,Mauleon,46.9236,-0.7483,France,FR,FRA,Nouvelle-Aquitaine,,8585,1250619307
Carpentras,Carpentras,44.0558,5.0489,France,FR,FRA,Provence-Alpes-Cìte d?Azur,minor,30854,1250619476
Bessancourt,Bessancourt,49.0386,2.2142,France,FR,FRA,◊le-de-France,,8521,1250620508
êvian-les-Bains,Evian-les-Bains,46.3833,6.5833,France,FR,FRA,Auvergne-Rhìne-Alpes,,9224,1250622011
Verriäres-le-Buisson,Verrieres-le-Buisson,48.7464,2.2674,France,FR,FRA,◊le-de-France,,14772,1250622233
La Motte-Servolex,La Motte-Servolex,45.5975,5.8783,France,FR,FRA,Auvergne-Rhìne-Alpes,,12167,1250622610
Ajaccio,Ajaccio,41.9267,8.7369,France,FR,FRA,Corsica,admin,75343,1250622666
Achäres,Acheres,48.9602,2.0684,France,FR,FRA,◊le-de-France,,21663,1250623309
Sceaux,Sceaux,48.7786,2.2906,France,FR,FRA,◊le-de-France,,20740,1250623371
Sallaumines,Sallaumines,50.4203,2.8631,France,FR,FRA,Hauts-de-France,,9633,1250623453
Crosne,Crosne,48.7164,2.458,France,FR,FRA,◊le-de-France,,9606,1250623470
La Rochelle,La Rochelle,46.16,-1.15,France,FR,FRA,Nouvelle-Aquitaine,minor,79961,1250623782
Fontaine-läs-Dijon,Fontaine-les-Dijon,47.3433,5.0206,France,FR,FRA,Bourgogne-Franche-ComtÇ,,9032,1250626718
Tournefeuille,Tournefeuille,43.5853,1.3442,France,FR,FRA,Occitanie,,29724,1250628309
Les Herbiers,Les Herbiers,46.87,-1.01,France,FR,FRA,Pays de la Loire,,16589,1250629086
